ID_recipient_account,ID_recipient_country,ID_recipient_subsidiary,ID_recipient_institute,Abroad,SEPA,Causal,Currency,Equivalent_value,Channel,Instant,UserAgent,Timestamp,ID_sender_account,ID_sender_subsidiary,Label_fraud_post
IBAN35095550848445960962,SD,AQ6P0,O43A,1,1,"Anything argue sister hear to. Father program audience skill real truth.
Drive federal three would.
Dinner brother anything quite.",CHF,6458.7,A,0,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/533.44.5 (KHTML, like Gecko) Version/5.0 Safari/533.44.5",2024/11/01 00:26:00,IBAN61445993110641946220,LW6SG,0
IBAN17793867027397458191,ML,BMAOM,1BLH,0,0,Woman huge live tend.,EUR,2268.5,W,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_7; rv:1.9.2.20) Gecko/8073-07-01 19:16:20.337158 Firefox/7.0,2024/08/13 06:55:27,IBAN57058972775844384345,R7876,1
IBAN40883182170721073195,LB,YB0K0,ELEH,1,0,Education prepare stuff visit anything chair. Away sport while arm. Which development say my audience across heart.,USD,851.84,O,0,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_3 rv:6.0; lo-LA) AppleWebKit/534.22.5 (KHTML, like Gecko) Version/4.0.4 Safari/534.22.5",2024/03/12 15:00:34,IBAN93498530423123956449,C9F2V,0
IBAN00689388635219848599,KZ,KVXZD,,0,0,Return ability institution central bill customer sound. Guess enough keep suggest space attack event.,GBP,8283.5,O,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/22.0.834.0 Safari/536.0",2024/05/30 07:05:58,IBAN76623401512564762417,CZIJZ,0
IBAN19295108404346137619,GB,RW68Y,,0,1,Little half while manager agreement which memory. Dinner usually interest say bar save conference baby.,USD,2912.95,W,1,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_5) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/20.0.883.0 Safari/536.1",2024/04/16 01:04:40,IBAN34143395757620981790,PA2CL,1
IBAN84887758727145126611,IN,P9IBU,6I74,1,0,Sister soldier tough how. Top relate line hour religious benefit safe.,EUR,2277.5,C,1,Opera/8.91.(Windows NT 5.2; eo-US) Presto/2.9.160 Version/10.00,2024/11/11 23:23:27,IBAN45908911961665137288,H3SEA,1
IBAN27094761487776144604,NZ,JB0GK,NNS9,1,1,Factor beyond management arm pay company may. Real political mother head space country. Difference join where specific guess position.,CHF,4411.3,O,1,,2024/03/10 01:07:41,IBAN57254760971885535252,4RM1T,1
IBAN76481642055421930324,SI,427UB,3BI2,1,1,Beyond example billion. Style old focus.,CHF,8984.67,C,1,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_4 rv:5.0; lt-LT) AppleWebKit/533.10.4 (KHTML, like Gecko) Version/4.0.2 Safari/533.10.4",2024/03/26 03:20:40,IBAN62818731127321358611,,1
IBAN22896331031305156088,BH,HISXA,0HSX,1,0,Central author raise woman test training. Event list suffer. Compare whether newspaper require your degree rich.,GBP,4140.51,O,1,Opera/8.67.(Windows NT 5.01; nhn-MX) Presto/2.9.163 Version/11.00,2024/07/24 13:25:59,IBAN02801751425880964052,U0ANB,1
IBAN10515463156308862001,TL,LVZFY,UZ1M,1,0,In bit relate. Throw family edge else deep sometimes. At environment affect share program would majority.,JPY,9979.85,A,0,,2024/02/01 21:25:06,IBAN14565279071733916869,GFI5D,0
IBAN12248253008754252257,SE,K5EYA,6QET,1,0,Political center treat assume bar. Couple successful herself area heart performance often must. Whom yeah ever.,EUR,8166.94,W,1,"Mozilla/5.0 (iPad; CPU iPad OS 4_3_5 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/11.3e2168.0 Mobile/94G370 Safari/533.2",2024/07/22 23:47:15,IBAN31441479742780549072,EE69S,0
IBAN54680250295819618859,NO,OFS7U,B1V2,0,0,"Value organization majority piece probably marriage. Conference produce present plan fear.
Pick treat lot structure industry who.",EUR,2191.14,F,1,,2024/02/15 22:35:53,IBAN08901812143590603219,4A835,1
IBAN62275409741814637242,JP,,T4JQ,1,0,Tv visit return. Life and nation throughout while although. Pass about agency south often finally cup.,USD,582.04,C,1,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/58.0.883.0 Safari/532.1",2024/03/08 13:08:14,IBAN26467440983364250254,DHWR1,1
IBAN22288797421247898790,HR,N2I4Q,T8VU,0,1,"Car half decade during. Door feeling a responsibility of heavy always practice.
Fly easy so road magazine majority. Before line the set.",USD,4772.87,O,0,,2024/01/20 00:21:50,IBAN47977292299178356359,03YX6,0
IBAN44797981932601351379,SM,X0Q81,H80J,0,1,"Moment culture improve glass collection. Rate thus TV above. Senior dark place whatever this of.
Form people enter that member worker.",JPY,5506.86,O,1,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/58.0.800.0 Safari/532.2",2024/06/21 07:49:01,IBAN25916180903315571497,I7BB9,1
IBAN23967543852651044451,CV,XHHV6,G96X,0,1,Civil kind figure because their. Reflect Mrs join detail television. Executive building southern meet trade eye.,CHF,8734.59,W,1,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/46.0.803.0 Safari/532.0",2024/09/15 15:54:26,IBAN08567550493331828836,H22O7,1
IBAN31744665303122542425,NR,PC4XO,0C1N,0,1,Many executive response almost despite dark. Republican let no student leave development low.,GBP,1928.92,O,1,,2024/08/15 23:02:29,IBAN71032760969211389113,GOAU1,1
IBAN99806578755283338361,GH,OOYYS,OHB1,1,0,"Ahead describe recent.
Thus strategy way left. One wall approach in give like.",GBP,6304.94,C,1,"Mozilla/5.0 (iPad; CPU iPad OS 17_4 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) CriOS/28.0.853.0 Mobile/38W167 Safari/536.2",2024/03/30 17:50:37,IBAN15750749478119941780,5I97Y,1
IBAN83975910405073149630,EC,EAYII,PMO7,0,1,Growth a expert very. Foreign name than everything boy. Character glass plan method force.,USD,5544.91,O,1,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_8) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/17.0.824.0 Safari/534.2",2024/03/05 06:35:07,IBAN28515544757464449246,M1710,0
IBAN88129936834598337740,DZ,59IRV,YNJP,0,1,"Operation in response benefit put. Foreign fine crime stuff occur hard. Yeah wear full.
Common media just know economy alone down.",CHF,65.34,O,0,Opera/8.72.(X11; Linux x86_64; wo-SN) Presto/2.9.162 Version/11.00,2024/02/01 02:36:06,IBAN13831230789597069727,YX7WF,0
IBAN74623105886068839378,LK,XOMOS,5S2U,1,0,Religious statement million. South possible record view. Long school staff ok player according everything.,USD,7379.25,O,0,,2024/08/02 00:13:37,IBAN84075209942436467816,71LTA,1
IBAN48211720442722822157,TO,BATGE,UFB0,0,1,East try arm process conference. Rich which effort quality support until.,GBP,3562.25,F,0,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; tr-CY) AppleWebKit/532.34.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6532.34.5",2024/10/18 10:40:43,IBAN84472196459404085199,YMCD9,1
IBAN58536413175911007702,GY,A5Z99,DMVK,0,0,"Off carry religious dinner service represent. Model assume what true sing indeed position.
Television large son themselves.",JPY,8199.36,O,1,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/4.0),2024/07/03 15:34:37,IBAN70703014997171812557,ACH63,0
IBAN05373412499530616920,SE,,5GQQ,1,1,Single interest hotel provide arm relate remember. Student anyone leg impact.,CHF,1049.76,W,1,,2024/04/11 03:14:33,IBAN59014969405901223441,NYBGF,1
IBAN44768043757480451799,AD,XANVO,YGVX,1,0,The nation thousand offer model. Clearly force because event but.,CHF,4253.9,O,0,Opera/8.84.(Windows NT 5.2; oc-FR) Presto/2.9.172 Version/12.00,2024/05/05 14:33:08,IBAN15951507401901910681,YU2LH,1
IBAN49583898756365997029,ET,ZOC7O,DQOC,1,1,Tonight it cell small. Everyone exist defense knowledge white.,GBP,3206.0,O,0,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.0),2024/01/16 01:57:27,IBAN81515553057151193486,0V6HC,0
IBAN75525773873270376315,GB,8U755,SD46,0,0,Local school key although avoid least nearly arm. Usually probably never word dark.,USD,5372.35,W,0,,2024/04/09 05:10:55,IBAN46342691094041517287,8VO6I,1
IBAN44275454969922644245,TH,GUTU0,,0,1,"Fast eye water about. Front practice a arrive.
Bar story fast great. Tough apply factor commercial. Girl tonight that option prepare still.",USD,351.7,W,1,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/534.27.2 (KHTML, like Gecko) Version/4.0.5 Safari/534.27.2",2024/08/08 01:29:10,IBAN71098195153129726258,XD5CN,0
IBAN04676006730472142098,KZ,33YRS,FFNU,1,0,Wish election director color whose general. Participant field size travel popular sort goal.,CHF,1387.42,F,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/18.0i9038.0 Mobile/38Y770 Safari/532.0",2024/11/14 14:17:09,IBAN28894040674490335734,D0MV7,1
IBAN25392245125792203000,MA,7Z985,6UBJ,0,1,Day full support other scene laugh. Career work station south.,CHF,7334.52,A,1,Mozilla/5.0 (Windows NT 5.1; af-ZA; rv:1.9.1.20) Gecko/4304-02-17 13:23:36.663742 Firefox/3.6.6,2024/02/01 05:34:14,IBAN87916729416239478080,B1E7W,1
IBAN60874072938005778649,BW,,MNT0,1,1,Store type but other participant red free. Tree guess during per purpose green. Movement recent manage power story.,JPY,7296.13,O,0,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; kl-GL) AppleWebKit/531.10.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6531.10.6",2024/11/09 21:13:41,IBAN59377313365044812094,KPB0Z,1
IBAN21012137411021025241,CI,1MEWN,HRPE,1,0,Movie vote page expert someone voice PM appear. Cultural town they shake city everything. Project seem American try draw young usually.,JPY,7206.84,W,0,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/5.0),2024/01/27 09:20:33,IBAN24274121261032843345,HOGQB,1
IBAN68684924964486811704,LY,YV8RN,P4E0,0,0,Plan cell blue mission leader street.,USD,3926.36,A,1,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/535.9.3 (KHTML, like Gecko) Version/5.0.2 Safari/535.9.3",2024/07/16 23:05:20,IBAN74609251209595640190,HB6RS,0
IBAN45579831882296543653,LS,HAHJP,2SWS,1,0,Debate remain sea term attorney. Recently black generation cultural. Attorney assume miss town affect.,CHF,380.14,A,0,,2024/11/11 20:30:37,IBAN34659146303195350612,,0
IBAN63901204041002225192,SC,,PVFI,1,1,Thus event painting vote investment guess. Site medical market off. Forget clearly month left give stop serve.,CHF,1826.11,O,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/63.0.810.0 Mobile/68Z121 Safari/532.2",2024/06/03 07:37:03,IBAN89371953271225592162,O68MC,1
IBAN32695616635158653625,TD,0LYY5,TPG9,1,1,"Act daughter or agree Congress strong travel.
Second among space human. Read appear available those.",EUR,3607.56,O,1,Opera/8.26.(X11; Linux x86_64; crh-UA) Presto/2.9.172 Version/12.00,2024/10/18 03:31:17,IBAN01865150653659190280,,0
